game_name,최적화#프레임,최적화#조작감,시스템#버그,콘텐츠#볼륨,콘텐츠#몰입도,시스템#밸런스,시스템#독창성,시스템#자유도,UX#그래픽,UX#캐릭터디자인,UX#사운드,스토리#내러티브,운영#핵/치트,운영#업데이트,콘텐츠#난이도,시스템#진입장벽,콘텐츠#피로도,overall_positive_review_ratio
Middle-earth™: Shadow of War™,-0.5,0.0,-1.0,0.1515,0.8,-0.8846,0.3182,0.2727,0.2308,-0.1111,0.0667,-0.0667,-1.0,-0.2,-0.7857,-0.875,-1.0,0.8887780505365058
Elite Dangerous,-0.8462,0.4286,-1.0,0.3226,0.7931,-0.8947,0.0,0.3636,0.4667,-0.5714,-0.25,-0.2222,-1.0,-0.6774,-0.8636,-0.875,-1.0,0.773577438777337
Tom Clancy's Rainbow Six Siege,,,-1.0,0.7778,0.814,-0.875,0.75,0.5556,0.2857,,,0.1429,-1.0,-0.6364,-0.7,-0.5385,-1.0,0.8238654865160889
Romance of the Three Kingdoms XIII,,,-0.8571,0.6,0.7385,-1.0,0.6667,0.5385,,,,,,-0.4,-1.0,-1.0,-0.875,0.578215987294865
Total War: WARHAMMER,-0.8889,,-1.0,0.5294,0.9107,-1.0,0.3889,0.5455,,,,,,-0.3,-0.4286,-0.6,,0.7849211211517844
Battle Brothers,-0.6429,0.5882,-1.0,0.3889,0.7606,-1.0,0.4,0.44,0.4,-0.0833,0.6,0.1333,,-0.3704,-0.5714,-0.7586,-0.8947,0.880442269349284
Assassin's Creed® Syndicate,-0.6154,0.2381,-0.8889,0.4,0.7465,-0.7778,0.3684,0.5676,0.4211,0.3913,0.25,0.3667,-0.4444,-0.5333,-0.25,-0.619,-0.7619,0.8005115877712031
Far Cry® Primal,-0.6667,0.1111,-0.8571,0.25,0.8358,-0.9474,0.6522,0.4348,0.1579,-0.0714,0.3333,0.2632,,-0.6,-0.8,-0.7222,-0.9,0.8625605432665902
Divinity: Original Sin - Enhanced Edition,-0.9,-0.0909,-1.0,0.5714,0.7222,-1.0,0.5769,0.375,0.3077,,,0.12,,-0.6316,-0.8214,-1.0,-1.0,0.8938179558869214
The Isle,-0.7273,,-0.9333,0.7333,0.8679,-0.8125,0.2727,0.375,,,,,-1.0,-0.5,-0.8462,-0.8235,-1.0,0.8018221625821033
Dead by Daylight,-1.0,,-1.0,0.2308,0.66,-1.0,0.2727,0.2143,,,,,-1.0,-0.7222,-0.9,-1.0,-0.8889,0.7850927077582748
X4: Foundations,-0.619,-0.0714,-0.85,0.5,0.8816,-0.8667,0.7714,0.4857,0.7333,0.5556,0.7778,0.3125,,0.0,-0.8108,-0.9048,-1.0,0.7998395367495726
Squad,-0.8824,-0.625,-1.0,0.375,0.7586,-0.875,0.5455,0.7143,0.0909,,,,,-0.1667,-0.9444,-0.9167,-1.0,0.8118437631247375
Hearts of Iron IV,-0.6667,,,0.3,0.8,-1.0,,,,,,,,-0.8182,-1.0,-0.8889,,0.9020388124428927
Factorio,,,,0.25,0.7121,-1.0,0.7,0.9091,,,,,,-0.1,-0.6429,-0.8182,-0.7143,0.9750804941318584
Who's Your Daddy?!,-1.0,,-0.9565,,0.6585,-1.0,,,,,,,,-0.625,-0.7143,-1.0,-1.0,0.8
Feed and Grow: Fish,-1.0,,-1.0,0.4444,0.9318,-0.75,0.7143,0.5556,,,,,,-0.6667,-0.7143,,-1.0,0.7810933509883666
Divinity: Original Sin 2 - Definitive Edition,,0.7143,,0.5769,0.8684,-0.7778,0.2222,0.6,0.7,,0.7143,0.375,,0.1429,-0.1053,-0.6667,-0.8462,0.9568022757921468
World of Tanks Blitz,-0.8,,-0.8,0.6667,0.7021,-1.0,0.125,0.5714,,,,,,-0.8667,-0.8667,-0.9231,-0.8571,0.780350762170136
Oxygen Not Included,,,-1.0,0.2667,0.9153,-1.0,0.5,0.4,0.5714,,,0.875,,-0.4,-0.8824,-0.625,-1.0,0.9677907679186952
Tom Clancy's Ghost Recon® Wildlands,-0.6667,-0.1111,-0.9545,0.4091,0.7576,-1.0,0.3913,0.2692,0.4118,0.3,0.125,0.1667,,-0.4118,-0.8966,-1.0,-1.0,0.7965272869668201
Northgard: Definitive Edition,-0.6154,,-0.8235,0.2273,0.8209,-0.7692,0.5238,0.2963,0.4444,,,0.2727,,-0.4,-0.7647,-0.8,-0.9412,0.853059192220953
Planet Coaster,,,,0.5,0.7463,-1.0,0.5882,0.4348,0.0,,,,,0.0,-0.875,-0.9091,-1.0,0.9135926250852934
Foxhole,,,-1.0,0.3158,0.8154,-0.7826,0.7143,0.65,,,,0.3636,,-0.6875,-0.7647,-0.9286,-0.9048,0.796301280326041
Totally Accurate Battle Simulator,-0.75,,-1.0,0.0833,0.875,-0.9091,0.5556,0.5,,,,,,-0.85,,,,0.9781537090132582
theHunter: Call of the Wild™,-0.5,-0.0833,-0.7692,0.4444,0.8704,-0.8,0.8125,0.2632,0.7778,0.5556,0.5556,0.5455,,-0.6364,-0.5652,-0.64,-0.7391,0.8908913415139958
Satisfactory,-0.5,,-0.875,0.4,0.9118,-0.8947,0.7778,0.6842,,,,,,-0.2941,-0.619,-0.8333,-0.8636,0.972522621937762
For The King,-1.0,,-1.0,0.3077,0.8475,-0.96,0.4615,0.2,,,,,,-0.875,-0.7619,-0.75,-1.0,0.8781897742975587
Victoria 3,-1.0,,-1.0,0.0,0.7692,-1.0,0.2143,0.0,0.2222,,,,,-0.7391,-0.7778,-1.0,-1.0,0.7039771015366074
Just Shapes & Beats,,0.6923,,-0.1176,0.9143,-0.5789,0.4643,0.4828,0.7241,0.5556,0.7222,0.4667,,-0.4118,-0.6,-0.6522,-0.72,0.9764581040716868
Two Point Hospital,-0.5455,,-1.0,0.6897,0.8553,-1.0,0.375,0.7222,0.8462,,,0.5,,-0.3913,-0.4118,-0.619,-1.0,0.9195508739437436
Black Squad,-1.0,0.25,-1.0,0.25,0.7209,-0.9375,0.5,0.8,0.5455,,0.4286,,-1.0,-0.7059,-0.6,-0.6364,-1.0,0.7583211310585832
Lobotomy Corporation | Monster Management Simulation,,,,0.0,0.9111,-0.8571,0.0,1.0,,,,0.125,,-0.2222,-0.8095,-0.5,-1.0,0.9420715380496002
PUBG: BATTLEGROUNDS,,,-1.0,-0.5,0.75,-1.0,0.4444,,,,,,,-0.8571,,,-1.0,0.6035481215502535
Fallout Shelter,-0.4286,0.7143,-0.8571,0.3684,0.9074,-0.9333,0.6,0.7273,0.7273,,,,,-0.2308,-0.5625,-0.7727,-0.875,0.8789100924650797
Holdfast: Nations At War,-0.9375,-0.1111,-0.9231,0.2857,0.8868,-0.7222,0.8333,0.75,,,,,,0.1818,-0.875,-0.9474,-1.0,0.8988724577610735
Into the Breach,,,-1.0,0.2308,0.9123,-0.625,0.85,0.8261,,,,0.7778,,-0.3077,-0.4286,-0.6,-0.8571,0.9424889576977368
PixARK,-0.9091,,-0.8947,-0.3333,0.7931,-0.9091,0.2222,,,,,,,-0.6667,-1.0,-0.75,-1.0,0.7307192539937323
Total War: WARHAMMER II,,,,0.4286,0.8955,-0.6364,0.5455,0.6923,0.5,0.375,,,,0.1538,-0.6923,-0.75,-1.0,0.9299746201259106
Yu-Gi-Oh! Duel Links,,,,0.381,0.807,-1.0,0.7,0.6111,0.1667,0.0,,,,-0.2353,-0.6522,-0.5833,-1.0,0.8293723475541658
Barotrauma,-0.5714,-0.4286,-1.0,0.7143,0.9714,-1.0,0.5909,0.5769,0.6,0.5556,,0.3529,,0.1538,-0.75,-0.76,-1.0,0.9401473827453783
Desperados III,,,,0.4444,0.9268,-0.9545,0.5385,0.6333,0.7778,0.6667,,0.5625,,-0.2381,-0.6333,-0.8333,-0.8947,0.9651297709923664
Stoneshard,-0.8889,,-1.0,-0.15,0.8955,-0.931,-0.0769,-0.1905,-0.375,,,-0.3333,-1.0,-0.7931,-0.8889,-1.0,-1.0,0.7459471977767484
NARUTO TO BORUTO: SHINOBI STRIKER,-0.7333,0.0,-0.9333,0.6842,0.8438,-0.7917,0.4,0.6667,0.2,0.0833,0.0,,-1.0,-0.1429,-0.5,-0.6842,-1.0,0.8373625205887041
Ravenfield,-0.1765,0.1818,-0.8,0.52,0.8333,-0.2857,0.8462,0.7857,0.7273,,,,,-0.1429,-0.3,-0.4667,-1.0,0.967375742756148
BATTLETECH,-0.7778,-0.4545,-0.9286,-0.0968,0.7568,-0.9429,0.5143,0.2647,0.2667,,,0.0,,-0.641,-0.7419,-0.9,-1.0,0.8391308317355975
They Are Billions,,,-1.0,0.4286,0.875,-1.0,,0.0769,,,,,,-0.6667,-0.7059,-0.7333,-1.0,0.8518831079622398
Car Mechanic Simulator 2018,-0.2222,,,0.8889,0.8276,,0.4375,0.7692,0.7778,,,,,0.125,-0.7222,-0.6,-0.8571,0.9094865100087032
Slay the Spire,,,,0.5833,0.9041,-1.0,1.0,0.8182,0.5714,,,,,,-0.5263,-0.6923,-0.8182,0.975737951100474
Jurassic World Evolution,-0.8889,,-0.9091,0.4118,0.9333,-1.0,-0.125,0.0769,0.5714,,,-0.1111,,-0.5714,-0.8571,-1.0,-0.8125,0.8739920087177624
Raft,,,,0.5455,0.8525,-1.0,,0.6,0.4286,,,-0.1111,,,-0.8571,-1.0,-0.875,0.9304469371165192
Stick Fight: The Game,,,,,0.8947,-0.6429,0.8571,,,,,,,-0.4286,-0.1818,-0.5556,-0.8182,0.9348530812515508
Hell Let Loose,-0.3571,0.3,-0.9231,0.3125,0.8154,-0.7368,0.5714,0.2857,0.4286,0.0,,0.625,,-0.4545,-0.6897,-0.7,-0.9333,0.8181799685312788
Planet Zoo,-0.6,0.0,-0.75,0.4545,0.962,-0.9286,0.4118,0.3478,0.45,0.5333,,0.2222,,-0.2667,-0.8,-0.7308,-0.8421,0.9112507631739616
A Total War Saga: THRONES OF BRITANNIA,,0.125,,0.16,0.7344,-0.8125,0.3929,0.2609,0.3158,0.4286,0.4,0.25,,-0.4,-0.7368,-0.8,-0.8636,0.7047702940777884
